x,y1,y2,y3,y4,y5,y6
1983.1666667,146.79272855,338.59989558,268.03990722,103.46999168,202.51007654,352.79441447
1983.25,150.93228349,343.27257414,273.42750936,103.29409269,208.05885264,355.01701928
1983.3333333,160.9994668,344.88595524,274.82198966,103.18046919,211.11731777,357.53764012
1983.4166667,161.83666403,366.7172362,270.9195174,101.28194856,207.86611108,360.00464983
1983.5,166.80504962,371.08117132,260.32656427,103.91527922,206.05767591,362.41668099
1983.5833333,160.0160841,374.82909115,274.95691719,103.80097241,211.84789661,365.09856443
1983.6666667,159.21600368,358.63647441,290.1895304,104.35111757,215.87300664,367.87331352
1983.75,160.66486931,359.74824748,293.12044465,105.65550654,216.95237167,370.6691507
1983.8333333,155.13799781,346.14976372,307.68853075,104.81026249,223.39585711,373.48623624
1983.9166667,158.48897856,352.69199426,305.44240448,104.02418552,224.87026977,376.1006399
1984,155.66787474,351.10488028,310.63492536,105.68857249,227.7261222,378.84617457
1984.0833333,152.67905155,350.99954882,334.14998921,104.82192619,234.37572496,381.7254055
1984.1666667,145.31992126,345.38355604,345.31059884,105.77580572,238.07886142,384.43565587
1984.25,146.23543676,344.38194373,346.93355866,104.87671137,240.8643841,387.24203616
1984.3333333,145.48963604,341.07587707,351.06206801,108.42154421,242.69495342,390.37869666
1984.4166667,136.80390477,341.55338329,352.080148,110.80681819,241.57855663,393.42365049
1984.5,139.29373583,341.89493668,342.71481607,114.2750716,237.80993115,396.37432787
1984.5833333,135.47708747,334.30486908,343.84577496,118.33183664,232.69701763,399.62459736
1984.6666667,149.40413206,333.43567642,337.65655101,117.52718015,230.55620507,402.94148151
1984.75,148.20889901,333.33564572,355.31598863,119.13730252,236.11260961,406.40677826
1984.8333333,146.96394425,328.53561242,356.98597378,120.54312269,233.53898216,410.47084604
1984.9166667,144.37737884,325.21740274,371.40820712,121.41103317,238.3498852,413.46728321
1985,147.03392261,323.10348962,370.4796866,123.0015177,235.10832676,416.11347383
1985.0833333,158.78193302,334.41211176,350.7331193,121.9068042,227.09113281,418.81821141
1985.1666667,160.71907261,337.88999772,350.38238618,123.47940197,229.49829882,421.24735703
1985.25,159.3690324,333.19332675,364.6429493,124.99819862,236.10784983,423.85909065
1985.3333333,157.83908968,332.86013342,378.20766701,126.93567069,237.78421556,426.9108761
1985.4166667,165.87309935,325.17106434,374.65251495,128.62391511,234.24123075,429.72848788
1985.5,167.97968771,326.40671439,376.41338177,130.82338406,232.43757327,432.09199456
1985.5833333,166.73663802,335.77458709,370.39076766,130.24776117,231.5543105,434.77096493
1985.6666667,165.03592431,334.80084079,378.83567716,130.15658774,235.81490981,437.16220524
1985.75,157.54329335,328.77442565,383.72265739,131.57529455,239.63511135,439.78517847
1985.8333333,163.87653374,323.87568671,386.60057733,132.77262973,237.04705214,442.64378213
1985.9166667,174.49573313,323.94046185,375.62112093,133.19750214,231.61867465,445.3439092
1986,181.26616758,322.6447,369.83655567,134.54279691,227.40321477,448.23864461
1986.0833333,182.44439766,325.871147,371.46383651,131.85194098,222.85515048,450.74878102
1986.1666667,195.45268322,323.55746186,368.60356497,133.28912713,220.09174661,453.13774956
1986.25,204.99077416,321.45433835,367.23973178,134.86193883,222.07257233,455.85657606
1986.3333333,202.30539502,330.64793243,356.73667545,138.75944886,221.93932879,458.22703025
1986.4166667,211.65190427,326.3825741,355.98752843,141.74277702,224.33627354,460.4723427
1986.5,213.83191888,323.51040745,360.6153663,144.33666983,226.17583098,462.86679888
1986.5833333,200.03976011,312.34929839,377.56428852,143.68715482,228.07570796,465.27370624
1986.6666667,212.18217355,298.76210391,390.81679505,141.3450542,235.35132304,467.41396529
1986.75,193.93450663,304.88672704,403.40109585,141.20370914,244.10639226,469.51732813
1986.8333333,202.97185464,297.7828663,397.67280029,141.13310729,246.54745618,471.67710784
1986.9166667,205.34662534,292.15477013,397.39442933,142.58677829,248.1746694,473.51664856
1987,198.63179069,292.50535585,398.82504927,143.7417312,248.3980266,475.83688014
1987.0833333,223.40117499,288.00077337,386.22217771,143.97171797,245.96372594,477.83539503
1987.1666667,233.20848657,297.79279967,363.39644701,142.76235554,239.49487995,479.89008723
1987.25,237.03310575,298.59684023,369.24712981,144.68964734,249.362069,482.14557064
1987.3333333,232.03170722,293.99844889,367.807066,143.9661991,251.93049831,484.26701115
1987.4166667,232.28694209,292.35205757,368.65302225,144.70042671,254.82769904,486.1072258
1987.5,241.43904761,285.8910771,372.48701368,147.14586393,256.96825171,488.44054048
1987.5833333,250.73445094,282.68909704,375.20616888,146.24827416,261.18253104,490.68736697
1987.6666667,259.56030362,280.00355062,371.64171028,149.23173895,256.97749229,492.99359759
1987.75,252.83769175,281.12356482,372.75663541,147.78419108,261.86006464,495.21206878
1987.8333333,194.07821219,258.49311785,388.52424109,150.82854542,267.77810211,498.18334119
1987.9166667,178.9983351,265.91187033,400.02455863,147.99296876,269.5989932,499.92698289
1988,191.18812172,266.07141746,382.4634805,152.35876134,262.96685797,501.87669812
1988.0833333,199.23714165,264.66123894,401.39542279,150.63710734,268.75212884,503.33214054
1988.1666667,208.70090588,273.42152595,394.61184014,152.9719825,268.75212884,505.64746839
1988.25,203.96339531,290.48302917,397.53196776,152.57425535,273.64341759,507.87231725
1988.3333333,205.10559033,293.82358401,404.01173883,152.26910684,278.95209989,510.20852991
1988.4166667,204.51078412,286.2723179,413.78882291,151.14231545,279.87264182,512.81059341
1988.5,214.30685067,292.3985455,408.74059927,153.34899325,270.24502294,515.32336532
1988.5833333,211.62801504,291.78450856,417.61027028,152.45956909,274.27167378,517.95151448
1988.6666667,204.62312774,291.6969732,426.38008595,151.22464658,279.09885524,521.00742842
1988.75,211.37569096,287.75906407,423.18223531,153.8710779,277.42426211,524.23767448
1988.8333333,213.8065114,279.27017168,430.33401509,155.8560148,280.28173201,527.43552429
1988.9166667,208.91034229,274.66221384,435.92835728,155.41961796,284.85032424,530.44190678
1989,212.02310639,280.21039056,428.90991073,156.49201332,283.76789301,533.78369079
1989.0833333,224.95651588,273.73753054,431.56915218,155.0053392,284.16516806,536.71950109
1989.1666667,219.89499428,281.15581762,435.58274529,153.65679275,289.3085576,539.99349005
1989.25,223.34734569,283.06767718,437.93489212,153.73362114,291.42051007,543.61144643
1989.3333333,233.01828575,280.8597493,431.80380363,154.82512985,289.75941316,547.25364312
1989.4166667,240.82439833,280.8597493,428.04711053,155.58377299,289.52760563,551.5769469
1989.5,237.57326895,277.79837803,437.5925611,156.00384918,294.01528352,555.49314323
1989.5833333,254.67854431,266.21418566,425.38372864,159.04592424,292.36879793,559.38159523
1989.6666667,258.34591535,267.49201376,427.93603102,159.66620334,290.70229578,563.52101903
1989.75,256.3824864,268.80272462,422.50124342,161.90153019,292.18487749,567.18390566
1989.8333333,246.97324915,259.87847417,417.81147962,162.06343172,292.09722203,571.04075622
1989.9166667,249.51707361,256.52604185,413.25733449,160.6696862,296.09895397,574.98093743
1990,252.41147167,250.67724809,413.91854623,160.55721742,300.3923888,578.48832115
1990.0833333,232.59717114,247.36830842,417.43685387,158.66264226,304.50776453,581.78570458
1990.1666667,235.17899974,250.21304397,420.10844974,158.55157841,302.65026717,585.1018831
1990.25,239.48277543,254.16641006,407.841283,161.75432029,299.77508963,588.84653515
1990.3333333,231.43615418,253.35307755,397.27819377,164.68207349,296.77733873,592.90957624
1990.4166667,250.92307836,247.34860961,382.06243895,167.21817742,292.08825678,596.94136136
1990.5,248.18801681,250.5888764,374.68863388,165.37877747,291.03673906,600.70209194
1990.5833333,243.47244449,242.74544457,374.53875843,165.19686081,300.43722573,604.78686616
1990.6666667,218.75999137,233.37547041,380.53137856,164.6186718,309.42029878,608.77845948
1990.75,205.3718799,224.64722781,382.85261997,164.71744301,320.59037156,612.43113024
1990.8333333,201.42873981,213.25761336,382.85261997,169.87309897,319.56448237,616.59566192
1990.9166667,214.21946478,213.34291641,371.48189716,170.73945178,304.57690815,620.11025719
